city,gini_coeff_npref,gini_coeff_apref
Amsterdam,0.164268061168699,0.14676293905785845
Antwerp,0.08980358029792687,0.07344570542530392
Barcelona,0.13699585933621275,0.11543522531613765
Berlin,0.16251709875644746,0.1580095064729574
Bilbao,0.17495805799546787,0.15458027031608798
Bratislava,0.17836986429639487,0.18252887188605707
Bregenz,0.33512022192607455,0.31605419224038744
Bremen,0.15386415373415455,0.16743631731008884
Bruges,0.16368170652465114,0.14409680378605713
Brussels,0.13369136384348917,0.11645573118393895
Budapest,0.14542285687040532,0.14621705145193936
Cologne,0.12839624954824785,0.13199706921827875
Dijon,0.1417524210719485,0.15284737016688157
Dresden,0.19219843322985658,0.20141822181183416
Dubrovnik,0.49091037042950963,0.4481539665017228
Eisenstadt,0.16070513840709372,0.1637571127464149
Genoa,0.1558668360235387,0.1681470867156348
Ghent,0.11074375384896738,0.09869377530966175
Gijón,0.21340866246027854,0.18532512906898757
Graz,0.19173490525053602,0.2039141414141414
Haarlemmermeer,0.160195670790682,0.1492055704076686
Hamburg,0.15703382757352846,0.15003387505984006
Heidelberg,0.1841375941684576,0.19071672530113715
Helsinki,0.19681900456093493,0.1967329329937739
Innsbruck,0.18190266271211397,0.1928437806540101
Karlsruhe,0.14463053979370136,0.14942837972102865
Klagenfurt,0.3302530918162531,0.2769691007141816
Leipzig,0.17951602910495917,0.18465684157489384
Leuven,0.1161909603699131,0.10338403080728437
Lille,0.0808896861110535,0.08195614622299159
Linz,0.15603735064312887,0.17550410683171705
Lisbon,0.15436352080535973,0.1480594421549132
Ljubljana,0.2694578873859475,0.28158197252258743
Lucerne,0.2324824077289622,0.2291611482066295
Luxembourg,0.192361029065136,0.18737810285971807
Maastricht,0.15195671439212605,0.15508286985797046
Madrid,0.07855515196691282,0.07907553096622498
Maribor,0.17723528760273152,0.30738064509546864
Mechelen,0.10635356597451735,0.08741484384351564
Monaco,0.18659884094961254,0.16728080602252787
Munich,0.17883985936679397,0.18850558015697136
Nuremberg,0.18042266273139848,0.19207974382724088
Opatija,0.3898418370137127,0.2750384442823334
Oslo,0.1767265214578319,0.1590151297548671
Paris,0.1170568479416854,0.10056240880230966
Poznan,0.0935148762590849,0.0892977060041613
Rotterdam,0.13974861689108392,0.12796088823227084
Salzburg,0.23496241413313446,0.22979295209526748
San Sebastian,0.1762572870903339,0.12173478293471614
Seville,0.09481775687542844,0.08778806722123682
Split,0.49447910362643505,0.4721996404520452
St. Pölten,0.1559997410715937,0.16281967171749032
Stuttgart,0.15596945655896288,0.16293863591986188
Tallinn,0.15052019289069715,0.15665799528686117
Troms,0.10429284080754214,0.10439503545823901
Trondheim,0.18574113009653587,0.1984746224048471
Turin,0.12016172833141299,0.1201792043061656
Utrecht,0.1301763079135388,0.10760874663014139
Valencia,0.11947896774952697,0.0841842907704419
Vienna,0.18516417981312538,0.1848356339597904
Vilnius,0.12646168957507448,0.1356496432407022
Warsaw,0.08991975500196461,0.09676865835579888
Zagreb,0.1504870685290566,0.1924222709270581
